MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Longitude,Latitude,Country,State,City
779563,15,5.2,4.2,50399,5.1,-118.0,34.0,India,Delhi,Rohini
668436,42,3.7,1.5,84297,4.8,-118.0,34.0,India,Uttar Pradesh,Kanpur
985744,31,2.6,1.0,84915,2.6,-118.0,34.0,India,Maharashtra,Pune
147757,23,2.2,1.7,39847,5.6,-118.0,34.0,India,Karnataka,Hubli
782642,27,2.0,1.3,68826,5.2,-118.0,34.0,India,Gujarat,Ahmedabad
484522,48,2.4,1.7,39627,5.4,-118.0,34.0,India,Gujarat,Ahmedabad
144693,29,1.8,1.2,81564,2.4,-118.0,34.0,India,Karnataka,Hubli
802589,49,5.5,4.1,35314,5.2,-118.0,34.0,India,Tamil Nadu,Madurai
970781,30,4.0,2.6,69912,5.1,-118.0,34.0,India,Rajasthan,Jaipur
389830,46,4.2,3.2,56368,3.5,-118.0,34.0,India,Delhi,Rohini
977977,6,5.6,3.0,94609,3.9,-118.0,34.0,India,Maharashtra,Mumbai
324480,26,3.0,1.4,16308,2.4,-118.0,34.0,India,Telangana,Hyderabad
480595,23,3.8,3.3,84116,3.3,-118.0,34.0,India,Maharashtra,Nagpur
333249,37,2.8,1.4,22605,4.9,-118.0,34.0,India,Maharashtra,Pune
627139,43,4.4,1.2,95176,5.2,-118.0,34.0,India,Tamil Nadu,Madurai
883777,13,2.6,1.9,35796,2.2,-118.0,34.0,India,Maharashtra,Nagpur
639185,29,1.5,1.0,5591,3.7,-118.0,34.0,India,Gujarat,Vadodara
864233,2,5.7,3.1,20684,5.4,-118.0,34.0,India,Maharashtra,Nagpur
893449,31,5.5,1.8,28751,2.4,-118.0,34.0,India,Karnataka,Hubli
304342,6,5.6,2.0,80416,5.0,-118.0,34.0,India,Tamil Nadu,Coimbatore
598793,28,3.7,1.4,41442,5.2,-118.0,34.0,India,Karnataka,Bengaluru
647948,31,5.5,1.7,26647,2.8,-118.0,34.0,India,Karnataka,Mysuru
313589,29,2.2,1.1,99580,2.8,-118.0,34.0,India,Kerala,Thiruvananthapuram
248776,2,3.2,1.9,37029,4.1,-118.0,34.0,India,Kerala,Thiruvananthapuram
140205,15,5.6,4.9,55917,2.1,-118.0,34.0,India,Uttar Pradesh,Lucknow
409079,3,1.8,1.2,79041,5.5,-118.0,34.0,India,Rajasthan,Udaipur
604492,21,5.6,3.1,98898,2.3,-118.0,34.0,India,Karnataka,Mysuru
819122,31,4.3,1.4,71306,4.3,-118.0,34.0,India,West Bengal,Howrah
618775,39,1.7,1.0,13264,5.3,-118.0,34.0,India,Gujarat,Ahmedabad
540957,30,4.4,3.0,28549,3.3,-118.0,34.0,India,Kerala,Kozhikode
539547,50,4.1,2.3,54923,2.8,-118.0,34.0,India,Telangana,Nizamabad
591139,36,1.7,1.0,3664,5.7,-118.0,34.0,India,Uttar Pradesh,Kanpur
186392,46,4.6,2.6,90189,2.7,-118.0,34.0,India,Maharashtra,Nagpur
333787,48,5.7,1.9,97771,3.3,-118.0,34.0,India,West Bengal,Durgapur
892318,15,5.0,3.6,69387,4.2,-118.0,34.0,India,Maharashtra,Pune
528327,42,5.1,3.8,92600,3.4,-118.0,34.0,India,Kerala,Thiruvananthapuram
965375,23,3.9,1.5,50774,3.9,-118.0,34.0,India,West Bengal,Howrah
665531,40,2.4,1.8,75322,2.4,-118.0,34.0,India,Tamil Nadu,Coimbatore
193613,27,5.9,5.2,14922,2.3,-118.0,34.0,India,Maharashtra,Nagpur
135315,1,5.6,1.6,46265,5.7,-118.0,34.0,India,West Bengal,Kolkata
881280,50,4.7,2.2,43622,2.2,-118.0,34.0,India,West Bengal,Durgapur
314687,26,5.5,3.4,21048,3.9,-118.0,34.0,India,Kerala,Thiruvananthapuram
493095,0,1.8,1.1,36606,5.1,-118.0,34.0,India,Maharashtra,Pune
121203,50,5.3,3.3,16364,2.5,-118.0,34.0,India,Uttar Pradesh,Varanasi
275050,20,2.9,1.5,4357,4.5,-118.0,34.0,India,Karnataka,Bengaluru
338359,0,3.2,1.2,53403,4.1,-118.0,34.0,India,Kerala,Kochi
516118,43,5.7,1.2,94208,4.4,-118.0,34.0,India,Maharashtra,Mumbai
138224,48,5.9,4.5,83930,5.7,-118.0,34.0,India,Uttar Pradesh,Varanasi
864925,11,3.7,2.1,43777,4.1,-118.0,34.0,India,Gujarat,Surat
682111,4,5.1,2.9,63550,2.7,-118.0,34.0,India,Tamil Nadu,Chennai
240660,4,5.0,3.1,67034,3.9,-118.0,34.0,India,Uttar Pradesh,Lucknow
887141,24,2.6,1.6,77755,4.5,-118.0,34.0,India,Karnataka,Hubli
849882,0,4.8,3.5,52834,5.8,-118.0,34.0,India,Uttar Pradesh,Lucknow
959500,31,2.7,1.5,12488,2.9,-118.0,34.0,India,Karnataka,Bengaluru
738088,47,4.7,3.2,28856,4.2,-118.0,34.0,India,Rajasthan,Jaipur
581181,26,2.0,1.1,19564,4.9,-118.0,34.0,India,Delhi,Dwarka
882399,24,4.4,2.1,6392,4.8,-118.0,34.0,India,Kerala,Kozhikode
575234,3,3.4,2.8,94481,5.5,-118.0,34.0,India,Telangana,Nizamabad
742519,42,5.5,4.8,16428,3.5,-118.0,34.0,India,Maharashtra,Nagpur
946251,35,3.2,1.7,2952,2.2,-118.0,34.0,India,Maharashtra,Mumbai
918656,27,5.8,1.9,7462,5.3,-118.0,34.0,India,Telangana,Nizamabad
262591,42,2.3,1.1,99200,5.8,-118.0,34.0,India,Maharashtra,Nagpur
152780,24,4.2,2.6,83372,5.0,-118.0,34.0,India,Delhi,Rohini
813476,7,4.8,1.4,26022,4.8,-118.0,34.0,India,Karnataka,Mysuru
927484,24,5.9,2.7,25058,6.0,-118.0,34.0,India,Rajasthan,Udaipur
944466,28,1.7,1.1,39983,4.1,-118.0,34.0,India,Kerala,Kozhikode
432098,26,2.6,1.8,25098,2.8,-118.0,34.0,India,Rajasthan,Udaipur
291741,40,5.5,1.8,47101,4.1,-118.0,34.0,India,Tamil Nadu,Madurai
928578,29,3.7,2.7,78390,3.1,-118.0,34.0,India,Rajasthan,Udaipur
222825,2,2.3,1.0,12933,4.6,-118.0,34.0,India,Karnataka,Hubli
305197,43,3.8,2.4,65916,5.1,-118.0,34.0,India,Maharashtra,Nagpur
631048,43,4.8,1.0,60730,3.8,-118.0,34.0,India,Delhi,Rohini
936143,49,2.7,1.9,26057,4.0,-118.0,34.0,India,Gujarat,Ahmedabad
488902,48,4.8,2.7,56949,5.8,-118.0,34.0,India,Tamil Nadu,Coimbatore
876214,29,5.1,1.5,3972,5.5,-118.0,34.0,India,Rajasthan,Jaipur
567362,38,2.8,1.1,28909,3.6,-118.0,34.0,India,Maharashtra,Nagpur
598493,8,5.3,2.8,6108,3.7,-118.0,34.0,India,Karnataka,Bengaluru
139456,9,3.3,1.1,93582,5.3,-118.0,34.0,India,Karnataka,Mysuru
172716,21,4.9,2.8,67281,2.4,-118.0,34.0,India,Delhi,Rohini
577792,34,3.8,1.5,89620,2.8,-118.0,34.0,India,West Bengal,Kolkata
623399,42,1.8,1.1,98712,4.0,-118.0,34.0,India,Maharashtra,Mumbai
586576,23,3.3,2.6,96625,2.9,-118.0,34.0,India,Kerala,Kochi
111380,35,5.9,4.6,42981,5.5,-118.0,34.0,India,Telangana,Warangal
704643,35,4.4,2.3,66010,5.1,-118.0,34.0,India,West Bengal,Howrah
266072,44,4.3,2.4,35766,4.5,-118.0,34.0,India,Kerala,Kochi
778892,10,2.6,1.6,7911,4.8,-118.0,34.0,India,Tamil Nadu,Chennai
849823,9,4.2,1.3,68790,2.6,-118.0,34.0,India,Uttar Pradesh,Kanpur
201045,21,4.9,3.0,96055,3.8,-118.0,34.0,India,Gujarat,Vadodara
935790,1,1.8,1.3,85159,5.0,-118.0,34.0,India,Uttar Pradesh,Lucknow
750308,18,3.1,1.5,39300,5.9,-118.0,34.0,India,Gujarat,Vadodara
849939,38,4.0,2.4,40869,2.4,-118.0,34.0,India,Maharashtra,Pune
270755,41,2.5,1.4,17059,5.7,-118.0,34.0,India,West Bengal,Kolkata
687292,48,4.2,2.1,43320,3.8,-118.0,34.0,India,Kerala,Thiruvananthapuram
204284,34,3.0,1.6,45948,4.7,-118.0,34.0,India,Tamil Nadu,Madurai
476414,7,5.0,3.2,48025,2.1,-118.0,34.0,India,Tamil Nadu,Chennai
528571,23,3.4,1.7,4444,5.0,-118.0,34.0,India,Kerala,Kozhikode
441235,8,1.6,1.0,9826,4.2,-118.0,34.0,India,Telangana,Warangal
352561,46,5.2,3.1,28362,3.2,-118.0,34.0,India,Kerala,Kozhikode
503397,14,5.9,1.3,2947,3.6,-118.0,34.0,India,Kerala,Kochi
462737,20,3.2,2.5,82166,5.7,-118.0,34.0,India,Uttar Pradesh,Kanpur
631653,16,1.7,1.2,45238,4.5,-118.0,34.0,India,Tamil Nadu,Coimbatore
143663,37,4.9,1.9,82941,5.8,-118.0,34.0,India,Uttar Pradesh,Lucknow
571194,12,3.1,1.1,91229,3.9,-118.0,34.0,India,Telangana,Nizamabad
471649,32,2.2,1.4,12474,4.2,-118.0,34.0,India,Uttar Pradesh,Lucknow
426466,5,3.4,1.8,20287,4.2,-118.0,34.0,India,West Bengal,Durgapur
881335,48,5.4,4.5,25888,3.7,-118.0,34.0,India,Maharashtra,Nagpur
959557,9,2.9,1.5,39824,4.6,-118.0,34.0,India,Kerala,Kochi
555619,28,2.9,1.8,56184,4.0,-118.0,34.0,India,Tamil Nadu,Chennai
136166,34,5.1,4.6,81132,2.2,-118.0,34.0,India,West Bengal,Howrah
131211,47,1.7,1.0,26994,2.6,-118.0,34.0,India,Telangana,Nizamabad
956654,8,5.9,1.7,43416,4.9,-118.0,34.0,India,Maharashtra,Nagpur
254539,6,2.7,1.3,28860,5.5,-118.0,34.0,India,Rajasthan,Udaipur
935077,36,3.1,1.7,92745,3.2,-118.0,34.0,India,West Bengal,Kolkata
240657,38,3.1,1.9,83714,3.0,-118.0,34.0,India,Karnataka,Mysuru
